tool		JBMC 5.17.0 (cbmc-5.17.0-7-g6f46fa656-dirty)	JBMC 5.17.0 (cbmc-5.17.0-7-g6f46fa656-dirty)	JBMC 5.17.0 (cbmc-5.17.0-7-g6f46fa656-dirty)	JBMC 5.17.0 (cbmc-5.17.0-7-g6f46fa656-dirty)	Wit4JBMC 	Wit4JBMC 	Wit4JBMC 	Wit4JBMC 
run set		Tasks_JBMC.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMC.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMC.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMC.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMCWitnessValidator.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMCWitnessValidator.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMCWitnessValidator.SV-COMP21_assert_java.ReachSafety-Java	Tasks_JBMCWitnessValidator.SV-COMP21_assert_java.ReachSafety-Java
../sv-benchmarks/java/		Status	CPU Time (s)	Wall Time (s)	Memory (MB)	Status	CPU Time (s)	Wall Time (s)	Memory (MB)
jbmc-regression/StaticCharMethods03.yml	false	false	0.911213893	0.5478216839983361	52.371456	unknown	3.750914282	3.281110935997276	1363.804160
jbmc-regression/StringCompare02.yml	false	unknown	1.012316442	0.5791402410031878	51.302400	unknown	0.853364042	0.47939316999691073	62.984192
jbmc-regression/StringBuilderAppend02.yml	false	TIMEOUT	15.374902677	14.816507707997516	2854.326272	unknown	0.134216903	0.1344479909967049	17.141760
jbmc-regression/StringCompare04.yml	false	false	0.925063838	0.5310304330050712	51.712000	unknown	0.88412393	0.47059281800466124	55.910400
jbmc-regression/charArray.yml	true	true	2.448300651	1.9207010159952915	96.202752	true	0.14930108	0.1496310509974137	21.655552
jbmc-regression/SubString02.yml	false	false	0.966334902	0.5985189160055597	51.789824	unknown	0.917648226	0.4870764049992431	56.061952
jbmc-regression/StringBuilderChars06.yml	false	false	0.99083448	0.6282128089951584	63.918080	unknown	4.141140988	3.6516052989973105	1546.412032
jbmc-regression/StringBuilderConstructors02.yml	false	false	0.87126541	0.5219308710002224	51.200000	unknown	0.793486882	0.4358529759992962	55.832576
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	2.351328347	1.8549615790034295	240.795648	unknown	1.0434647	0.5184971889975714	68.628480
jbmc-regression/Validate02.yml	false	unknown	0.942334591	0.5270389090001117	51.511296	unknown	8.059527135	7.392858295999758	1891.319808
jbmc-regression/StringValueOf03.yml	false	false	1.059159582	0.7003407090014662	54.685696	unknown	4.795990129	4.2662790280010086	1672.290304
jbmc-regression/StringCompare05.yml	false	false	0.913978363	0.5342057020025095	51.384320	unknown	3.544056446	2.9488379399990663	1188.888576
jbmc-regression/StringConstructors03.yml	false	false	0.915284681	0.5632880959965405	51.433472	unknown	0.80198768	0.43435990499710897	56.176640
